"","Species","Taxonomic_Authority","Common_Names","French_Name","Common_Family","OMNR_Code","Family_TSN","Parent_TSN","Species_TSN","Global_Rank_GRank","National_Rank_NRank","Provincial_Rank_SRank","COSEWIC_Status","SARO_Status","AFS_Status","Status_Notes","Ontario_Origin","General_Abundance","Tolerance","Economic_Importance","General_Habitats","Environment","Trophic_Class","Thermal_Regime","Habitat_Preference","Reproductive_Guild","Spawning_Habitats","Spawning_Season","Spawning_Months","Spawning_Temperature_Celsius","Fecundity","Nursery_Habitats","Adult_Length_cm","Adult_Weight_kg","Age_at_Maturity_yrs","Maximum_Length_cm","Maximum_Weight_kg","Lifespan_yrs","Species_TSN2","class_itis","order_itis","family_itis","genus_itis","species_itis"
"68","Moxostoma anisurum","(Rafinesque, 1820)","Silver Redhorse","chevalier blanc","suckers","168","163892","163927","163933","G5 (2015-08-18)","N5 (2017-12-22)","S4 (1988-11-22)","none","none","none","none","native","uncommon","intermediate","none","lacustrine; riverine","benthic","invertivore","coolwater","mud- to rock-bottomed pools and runs of small to large rivers; occasionally lakes and impoundments","Nonguarders: Open substratum spawners: Lithophils","riverine","spring","April-June","9-14.5","14,910-36,340","riverine","33.8-60.2 TL","0.4-2.3","5-8","74 TL","6.75","12-26","163933","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma anisurum"
"69","Moxostoma carinatum","(Cope, 1870)","River Redhorse","chevalier de rivière","suckers","173","163892","163927","163936","G4 (1996-04-26)","N2N3 (2016-02-10)","S2 (1989-03-14)","Special Concern (Nov 2015)","Special Concern","none","none","native","rare","intolerant","none","riverine","benthic","invertivore","coolwater","pools and swift runs of medium to large rivers with gravel, cobble, boulder or bedrock substrates","Nonguarders: Open substratum spawners: Lithophils","riverine","spring","May-June","15.5-24.5","6,078-42,630","riverine","33.0-63.5 TL","0.4-2.8","5-7","81.2 TL","7.94","16-28","163936","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma carinatum"
"70","Moxostoma duquesnei","(Lesueur, 1817)","Black Redhorse","chevalier noir","suckers","169","163892","163927","163938","G5 (2015-05-19)","N2 (2017-12-21)","S2 (1997-10-09)","Threatened (May 2015)","Threatened","none","none","native/introduced","rare","intolerant","none","riverine","benthic","invertivore","warmwater","pools and runs of creeks and small to medium rivers with sand, gravel and rocky substrates where siltation is minimal","Nonguarders: Open substratum spawners: Lithophils","riverine","spring","May-June","14-21","1,343-17,252","riverine","25.4-40.6 TL","0.16-0.70","3-6","65.8 TL","3.18","10-17","553274","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma duquesnii"
"71","Moxostoma erythrurum","(Rafinesque, 1818)","Golden Redhorse","chevalier doré","suckers","170","163892","163927","163939","G5 (2015-08-18)","N4N5 (2017-12-22)","S4 (2003-11-10)","Not at Risk (Apr 1989)","Not at Risk","none","none","native","uncommon","intermediate","none","riverine","benthic","invertivore","warmwater","pools, runs and riffles of creeks and small to large rivers with varied substrates and moderate gradients; preferred water temperature range 26-27.5°C","Nonguarders: Open substratum spawners: Lithophils","riverine","spring","May-June","10-22.5","5,041-35,000","riverine","27.9-45.7 TL","0.22-0.93","3 (m); 4 (f)","78 TL","4.96","7-11","163939","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma erythrurum"
"72","Moxostoma macrolepidotum","(Lesueur, 1817)","Shorthead Redhorse","chevalier rouge","suckers","171","163892","163927","163928","G5 (2015-08-18)","N5 (2017-12-22)","S5 (1997-10-09)","none","none","none","none","native","common","intermediate","none","lacustrine; riverine","benthic","invertivore","warmwater","pools, runs and riffles in small to large rivers with sand and gravel substrates, and lake shallows; preferred water temperature range 26-27.5°C","Nonguarders: Open substratum spawners: Lithophils","riverine","spring","April-June","10-18","7,544-44,000","riverine","35.6-52.7 TL","0.5-1.7","3-5","75.0 TL","5.75","11-20","163928","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma macrolepidotum"
"73","Moxostoma valenciennesi","Jordan, 1885","Greater Redhorse","chevalier jaune","suckers","172","163892","163927","163947","G4 (2001-02-20)","N4 (2017-12-28)","S3 (1997-10-09)","none","none","Vulnerable (1)","none","native","uncommon","intolerant","none","lacustrine, riverine","benthic","invertivore","warmwater","moderate to swift current riffles, runs and pools of medium to large rivers with clear water and substrates of gravel, cobble or boulders; lakes","Nonguarders: Open substratum spawners: Lithophils","riverine","spring","May-June","13-19","25,190-71,920","riverine","38.1-61.6 TL","0.5-2.2","5 (m); 6 (f)","80 TL","7.26","12-20","163947","Teleostei","Cypriniformes","Catostomidae","Moxostoma","Moxostoma valenciennesi"
"74","Ameiurus melas","(Rafinesque, 1820)","Black Bullhead","barbotte noire","North American catfishes","231","163995","164034","164039","G5 (2015-08-17)","N5 (2017-12-22)","S4 (2003-11-10)","none","none","none","none","native/introduced","uncommon","intermediate","none","lacustrine; riverine","benthic","invertivore/carnivore","warmwater","lakes, ponds, impoundments, and oxbows, pools and backwaters of creeks and rivers with low gradient and soft substrates","Guarders: Nest spawners: Speleophils","lacustrine; riverine","spring","May-June","16-24","1,040-6,820","lacustrine; riverine","14.4-30.5 TL","0.04-0.36","2-3","66.0 TL","4.05","6-10","164039","Teleostei","Siluriformes","Ictaluridae","Ameiurus","Ameiurus melas"
"75","Ameiurus natalis","(Lesueur, 1819)","Yellow Bullhead","barbotte jaune","North American catfishes","232","163995","164034","164041","G5 (2011-10-14)","N4 (2017-12-22)","S4 (1988-11-22)","none","none","none","none","native","uncommon","tolerant","none","lacustrine; riverine","benthic","invertivore/carnivore","warmwater","pools and backwaters over muddy substrates in sluggish creeks and small to large rivers, oxbows, ponds, impoundments and heavily vegetated areas of shallow bays and small lakes; preferred water temperature 27.6°C","Guarders: Nest spawners: Speleophils","lacustrine; riverine","spring","May-June","16-24","1,652-6,600","lacustrine; riverine","17.8-34.3 TL","0.08-0.56","2-3","58.4 TL","3.2","6-12","164041","Teleostei","Siluriformes","Ictaluridae","Ameiurus","Ameiurus natalis"
"76","Ameiurus nebulosus","(Lesueur, 1819)","Brown Bullhead","barbotte brune","North American catfishes","233","163995","164034","164043","G5 (2015-08-17)","N5 (2016-02-09)","S5 (1997-10-09)","none","none","none","none","native","common","intermediate","commercial fishery","lacustrine; riverine","benthic","invertivore/herbivore/carnivore","warmwater","pools and sluggish runs over sand to mud substrates in creeks and rivers, impoundments, ponds and lake embayments; preferred water temperature range 26-30°C","Guarders: Nest spawners: Speleophils","lacustrine; riverine","spring","May-June","14-25","1,050-13,800","lacustrine; riverine","19.3-35.6 TL","0.09-0.61","2-3","55.0 TL","3.35","8-12","164043","Teleostei","Siluriformes","Ictaluridae","Ameiurus","Ameiurus nebulosus"
"77","Ictalurus punctatus","(Rafinesque, 1818)","Channel Catfish","barbue de rivière","North American catfishes","234","163995","163996","163998","G5 (2015-08-18)","N5 (2017-12-22)","S4 (1988-11-22)","none","none","none","none","native","common","tolerant","commercial fishery; sport fish","lacustrine; riverine","benthic","invertivore/carnivore","warmwater","deep pools and runs in small to large rivers with sand, gravel or cobble substrates, and cool, clear, deeper waters of lakes; preferred water temperature range 27-31°C","Guarders: Nest spawners: Speleophils","lacustrine; riverine","spring-summer","May-July","18-27","1,052-70,000","lacustrine; riverine","35.6-76.2 TL","0.43-4.2","5-7","132 TL","26.3","15-27","163998","Teleostei","Siluriformes","Ictaluridae","Ictalurus","Ictalurus punctatus"
"78","Noturus flavus","Rafinesque, 1818","Stonecat","chat-fou des rapides","North American catfishes","235","163995","164002","164013","G5 (2015-09-22)","N5 (2017-12-22)","S4 (1988-11-22)","none","none","none","none","native","common","tolerant","none","riverine","benthic","invertivore/carnivore","warmwater","cobble and boulder riffles and runs of creeks and small to large rivers, and gravel shoals of lakes; preferred water temperature 25.1°C","Guarders: Nest spawners: Speleophils","riverine","summer","June-August","23-29","767-1,205","riverine","15.2-24.1 TL","0.03-0.12","3 (m); 4-5 (f)","31.2 TL","0.482","6-10","164013","Teleostei","Siluriformes","Ictaluridae","Noturus","Noturus flavus"
"79","Noturus gyrinus","(Mitchill, 1817)","Tadpole Madtom","chat-fou brun","North American catfishes","236","163995","164002","164003","G5 (2015-08-18)","N5 (2017-12-22)","S4 (1988-11-22)","none","none","none","none","native","uncommon","intermediate","none","lacustrine; riverine","benthic","invertivore/planktivore","warmwater","quiet, slow moving, pools and backwaters of creeks and small to large rivers, and clear waters of shallow lakes, ponds, and stream mouths, with soft, muddy substrates and extensive vegetation","Guarders: Nest spawners: Speleophils","riverine","summer","June-July","20-25","43-529","lacustrine; riverine","5.9-10.1 TL","0.003-0.015","1-2","13.7 TL","no data","3-4","164003","Teleostei","Siluriformes","Ictaluridae","Noturus","Noturus gyrinus"
"80","Noturus insignis","(Richardson, 1836)","Margined Madtom","chat-fou liséré","North American catfishes","238","163995","164002","164004","G5 (2015-10-02)","NU (2017-08-21)","SU (2018-03-29)","Data Deficient (May 2002)","Data Deficient","none","none","introduced","rare","intermediate","none","riverine","benthic","invertivore","warmwater","riffles and runs of clear, fast-flowing creeks and small to medium rivers with cobble, boulder or coarse gravel substrates and lakes","Guarders: Nest spawners: Speleophils","riverine","summer","June-July","20-26","53-460","riverine","6.4-12.6 TL","0.003-0.022","1-2 (m); 2-3 (f)","17.9 TL","0.036","4-5","164004","Teleostei","Siluriformes","Ictaluridae","Noturus","Noturus insignis"
"81","Noturus miurus","Jordan, 1877","Brindled Madtom","chat-fou tacheté","North American catfishes","237","163995","164002","164020","G5 (2007-06-24)","N3 (2017-12-26)","S2 (1988-09-11)","Not at Risk (May 2001)","Not at Risk","none","none","native","uncommon","intolerant","none","lacustrine; riverine","benthic","invertivore","warmwater","shallow lake environments and low gradient streams over sand, clay, detritus and soft mud substrates; often in weedy areas below riffles","Guarders: Nest spawners: Speleophils","riverine","summer","June-August","24-27","31-176","riverine","5.1-8.9 TL","0.001-0.008","2 (m); 1-2 (f)","13.2 TL","no data","3","164020","Teleostei","Siluriformes","Ictaluridae","Noturus","Noturus miurus"
"82","Noturus stigmosus","Taylor, 1969","Northern Madtom","chat-fou du nord","North American catfishes","244","163995","164002","164025","G3 (2012-07-31)","N1 (2017-12-21)","S1 (2007-11-09)","Endangered (May 2012)","Endangered","Vulnerable (1)","none","natural dispersal","rare","intolerant","none","riverine","benthic","invertivore","warmwater","riffles and runs in medium to large streams and rivers with clear to turbid waters and moderate to swift current over sand to rock substrate","Guarders: Nest spawners: Speleophils","riverine","summer","July-August","23-25","61-223","riverine","7.5-13.5 TL","0.005-0.027","2","15.0 TL","0.03","3-6","164025","Teleostei","Siluriformes","Ictaluridae","Noturus","Noturus stigmosus"
"83","Pylodictis olivaris","(Rafinesque, 1818)","Flathead Catfish","barbue à tête plate","North American catfishes","239","163995","164028","164029","G5 (2016-02-09)","NNA (2017-12-22)","SNA (1997-10-02)","Data Deficient (Apr 2008)","Data Deficient","none","none","natural dispersal","rare","tolerant","none","lacustrine; riverine","benthic","invertivore/carnivore","warmwater","deep pools with submerged cover in low- to moderate-gradient, small to large rivers, lakes and impoundments; juveniles in rocky and sandy runs and riffles; preferred water temperature range 31.5-33.5°C","Guarders: Nest spawners: Speleophils","riverine","summer","June-July","22-29","4,076-58,792","riverine","35.6-86.4 TL","0.5-8.0","3-5 (m); 4-6 (f)","155 TL","63.45","17-28","164029","Teleostei","Siluriformes","Ictaluridae","Pylodictis","Pylodictis olivaris"
"84","Osmerus mordax","(Mitchill, 1814)","Rainbow Smelt","éperlan arc-en-ciel","smelts","121","162028","162038","162041","G5 (2016-05-10)","N5B, N5N, N5M (2017-12-28)","S5 (1988-11-22)","none","none","none","none","native/introduced","common","intermediate","forage fish; commercial fishery; sport fish; invasive species","lacustrine; marine1","pelagic","invertivore/carnivore","coldwater","cool, clear, mid-waters (14-64 m) of lakes and medium to large rivers; preferred water temperature range 7-16°C","Nonguarders: Open substratum spawners: Litho-pelagophils","lacustrine; riverine","spring","March-April","4.5-11","1,700-69,600","lacustrine; estuarine1","12.7-25.9 TL","0.01-0.09","2-3","40.0 TL","0.23","5-7","162041","Teleostei","Osmeriformes","Osmeridae","Osmerus","Osmerus mordax"
"85","Coregonus artedi","Lesueur, 1818","Cisco (lake herring)","cisco de lac","trouts and salmons","093","161931","161932","161942","G5 (2015-08-17)","N5B, N5N, NUM (2017-12-28)","S5 (1988-11-22)","none","none","none","none","native","common","intolerant","forage fish; bait fish; commercial fishery; sport fish","lacustrine","pelagic","planktivore/invertivore","coldwater","open, mid-waters (13-53 m) of lakes and large rivers, below the thermocline; preferred water temperature range 7-10°C","Nonguarders: Open substratum spawners: Pelagophils","lacustrine","fall","November-December","1-5","3,471-48,999","lacustrine","22.1-37.6 TL","0.08-0.44","2-4","59.7 TL","3.6","14-22","623384","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus artedi"
"86","Coregonus clupeaformis","(Mitchill, 1818)","Lake Whitefish","grand corégone","trouts and salmons","091","161931","161932","161941","G5 (2015-08-17)","N5B, N5N, N5M (2017-12-28)","S5 (2009-03-23)","Data Deficient1 (May 2005)","none","none","(1) Lake Simcoe population","native","common","intolerant","commercial fishery; sport fish","lacustrine; riverine","benthic","invertivore/carnivore","coldwater","cool waters (18-37 m) of lakes and large rivers, below the thermocline; preferred water temperature range 8-14°C","Nonguarders: Open substratum spawners: Litho-pelagophils","lacustrine; riverine","fall","October-December","1-8","5,958-121,700","lacustrine; riverine","38.1-74.9 TL","0.5-4.4","4-7","91.4 TL","11.8","12-28","161941","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus clupeaformis"
"87","Coregonus hoyi","(Milner, 1874)","Bloater","cisco de fumage","trouts and salmons","094","161931","161932","161943","G4 (2011-11-04)","N4 (2016-02-09)","S4 (1989-11-22)","Not at Risk (Apr 1988)","Not at Risk","none","none","endemic","common","intolerant","commercial fishery; forage fish","lacustrine","pelagic","planktivore/invertivore","coldwater","clear, deep waters (38-121 m), usually 55-91 m, at water temperatures of 1.5-11.4°C; preferred water temperature range 4-7°C","Nonguarders: Open substratum spawners: Litho-pelagophils","lacustrine","fall-winter","November-March","<5","1,387-34,891","lacustrine","20.3-30.4 TL","0.06-0.20","2-3","39.5 TL","0.351","9-10 (m); 10-11 (f)","623394","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus hoyi"
"88","Coregonus johannae","(Wagner, 1910)","Deepwater Cisco","cisco de profondeur","trouts and salmons","095","161931","161932","161944","GX (2011-11-04)","NX (2017-12-22)","SX (1988-10-31)","Extinct (May 2000)","Extinct","Extinct (2,4)","none","endemic","extinct","intolerant","commercial fishery (historical)","lacustrine","pelagic","planktivore","coldwater","clear, cold, deep waters (29-183 m), usually >64 m","Nonguarders: Open substratum spawners: Pelagophils","lacustrine","summer-fall","August-September","no data","no data","lacustrine","24.3-29.0 TL","0.15","no data","39.6 TL","0.68","no data","161944","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus johannae"
"89","Coregonus kiyi","(Koelz, 1921)","Kiyi","cisco kiyi","trouts and salmons","096","161931","161932","161945","G3G4 (2011-11-04)","N3 (2017-12-29)","SX1, S32 (2009-01-06)","Extinct1, Special Concern2 (May 2005)","Extinct1, Special Concern2","Possibly Extinct1 (1,2,4)","(1) Lake Ontario subspecies (C. kiyi orientalis); (2) Upper Great Lakes Kiyi","endemic","uncommon","intolerant","commercial fishery (historical)","lacustrine","pelagic","planktivore","coldwater","clear, cold, deep waters (55-165 m), usually >110 m; preferred water temperature range 3.7-4.6°C","Nonguarders: Open substratum spawners: Litho-pelagophils","lacustrine","fall","October-December","2-4","14,000","lacustrine","17.3-27.4 TL","0.04-0.16","2-4","35.1 TL","0.332","7-8 (m); 9-10 (f)","161945","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus kiyi"
"90","Coregonus nigripinnis","(Milner, 1874)","Blackfin Cisco","cisco à nageoires noires","trouts and salmons","097","161931","161932","161946","G1Q (2011-11-07)","NU (2017-12-22)","SU (2018-03-28)","Data Deficient (Apr 2007)","Data Deficient","Possibly Extinct1 (2,4)","(1) Lake Nipigon subspecies (C. nigripinnis regalis) designated as Threatened (2,4) by AFS","endemic","rare","intolerant","commercial fishery (historical)","lacustrine","pelagic","planktivore","coldwater","clear, cold, deep waters (55-165 m), usually >91 m","Nonguarders: Open substratum spawners: Pelagophils","lacustrine","fall-winter","November-January","<5","no data","lacustrine","27.6-44.4 TL","0.17-0.83","4-5","55.0 TL","1.11","11-14","623395","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus nigripinnis"
"91","Coregonus nipigon","(Koelz, 1925)","Nipigon Cisco","toulibi","trouts and salmons","098","161931","161932","161968","G3G5 (2011-11-07)","NU (2017-12-22)","SNR","none","none","none","none","native","limited distribution","intolerant","commercial fishery","lacustrine","pelagic","planktivore","coldwater","open, shallow waters of lakes","Nonguarders: Open substratum spawners: Pelagophils","lacustrine","fall","November","no data","no data","lacustrine","23.7-40.1 TL","0.10-0.54","4","54.5 TL","0.907","9","623384","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus artedi"
"92","Coregonus reighardi","(Koelz, 1924)","Shortnose Cisco","cisco à museau court","trouts and salmons","099","161931","161932","161947","GH (2011-11-07)","NH (2016-02-10)","SH (2008-05-15)","Endangered (April 2017)","Endangered","Possibly Extinct (1,2,4)","none","endemic","rare","intolerant","commercial fishery (historical)","lacustrine","pelagic","planktivore","coldwater","clear, deep waters (22-92 m), typically 50-68 m, at water temperatures of 2-10°C","Nonguarders: Open substratum spawners: Pelagophils","lacustrine","spring","April-June","4-5","15,000","lacustrine","23.9-31.0 TL","0.12-0.23","2-4","37.1 TL","0.539","9 (m); 11 (f)","161947","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus reighardi"
"93","Coregonus zenithicus","(Jordan & Evermann, 1909)","Shortjaw Cisco","cisco à mâchoires égales","trouts and salmons","100","161931","161932","161948","G3 (2015-08-17)","N2 (2017-08-19)","S2 (1997-04-01)","Threatened (May 2003)","Threatened","Threatened (1,2,4)","none","native","rare","intolerant","commercial fishery (historical)","lacustrine","pelagic","planktivore","coldwater","clear, deep waters (20-183 m) below thermocline, usually 55-144 m","Nonguarders: Open substratum spawners: Pelagophils","lacustrine","fall","October-December","<5","3,230-18,768","lacustrine","24.3-34.5 TL","0.08-0.28","3-6","41.1 FL","1.06","10-13","161948","Teleostei","Salmoniformes","Salmonidae","Coregonus","Coregonus zenithicus"
"94","Oncorhynchus gorbuscha","(Walbaum, 1792)","Pink Salmon","saumon rose","trouts and salmons","071","161931","161974","161975","G5 (2016-05-10)","N5B, N5N, N5M (2017-12-27)","SNA (2011-05-05)","none","none","none","none","introduced","uncommon","intolerant","sport fish","lacustrine; marine1","pelagic","invertivore","coldwater","mid-waters (6-36 m); preferred water temperature range 13-17°C","Nonguarders: Brood hiders: Lithophils","riverine","fall","September-October","8-14","800-2,800","lacustrine; marine1","34.3-46.7 TL","0.36-0.88","2-3","83.1 TL","6.74","2-3","161975","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha"
"95","Oncorhynchus kisutch","(Walbaum, 1792)","Coho Salmon","saumon coho","trouts and salmons","073","161931","161974","161977","G5 (2017-12-28)","N4N5B, N5N, N5M (2017-12-28)","SNA (2011-05-06)","none","none","none","none","introduced","uncommon","intolerant","sport fish","lacustrine; marine1","pelagic","invertivore/carnivore","coldwater","mid-waters (16-60 m); preferred water temperature range 11-17°C","Nonguarders: Brood hiders: Lithophils","riverine","fall","October-November","1-8","1,440-6,906","riverine","45.7-65.6 FL","0.9-3.1","3-4","108.0 TL","17.75","3-4","161977","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus kisutch"
"96","Oncorhynchus mykiss","(Walbaum, 1792)","Rainbow Trout (steelhead)","truite arc-en-ciel","trouts and salmons","076","161931","161974","161989","G5 (2016-05-10)","N5B, N5N, N5M (2017-12-27)","SNA (2011-05-06)","none","none","none","none","introduced","common","intolerant","sport fish","lacustrine; riverine","benthopelagic","invertivore/carnivore","coldwater","mid-waters of lakes; creeks and rivers with moderate flow, gravelly bottoms and riffle-pool habitat; preferred water temperature range 12-18°C","Nonguarders: Brood hiders: Lithophils","riverine","spring1","March-May","4-10","200-12,749","riverine","17.8-73.4 TL","0.05-4.0","2-4 (m); 3-5 (f)","123.2 TL","25.85","3-8","161989","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus mykiss"
"97","Oncorhynchus tshawytscha","(Walbaum, 1792)","Chinook Salmon","saumon chinook","trouts and salmons","075","161931","161974","161980","G5 (2017-12-28)","N4N5B, N5N, N5M (2017-12-28)","SNA (2011-05-06)","none","none","none","none","introduced","common","intolerant","sport fish","lacustrine; marine1","pelagic","invertivore/carnivore","coldwater","mid-waters (15-60 m) in or below the thermocline; preferred water temperature range 12-16°C","Nonguarders: Brood hiders: Lithophils","riverine","fall","September-October","5.5-14.5","2,250-13,619","lacustrine; marine1","50.8-88.9 FL","1.3-6.6","4-5","160 FL","65.0","4-5","161980","Teleostei","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus tshawytscha"
"98","Prosopium coulterii","(Eigenmann & Eigenmann, 1892)","Pygmy Whitefish","ménomini pygmée","trouts and salmons","101","161931","162007","162011","G5 (2008-01-15)","N4N5 (2017-12-22)","SU (1997-10-10)","Threatened1, Data Deficient2 (Nov 2016)","none","none","(1) Great Lakes-Upper St. Lawrence populations; (2) Saskatchewan-Nelson Rivers populations","native","limited distribution","intolerant","none","lacustrine; riverine","benthopelagic","invertivore","coldwater","cold, deep waters (18-90 m) of lakes, usually >30 m; preferred water temperature <10°C","Nonguarders: Open substratum spawners: Lithophils","lacustrine; riverine","fall","November-December","0.5-4","93-1,412","lacustrine","9.1-15.1 TL","0.004-0.023","2 (m); 3 (f)","27.1 FL","0.163","5-7 (m); 7-9 (f)","553389","Teleostei","Salmoniformes","Salmonidae","Prosopium","Prosopium coulterii"
"99","Prosopium cylindraceum","(Pennant, 1784)","Round Whitefish","ménomini rond","trouts and salmons","102","161931","162007","162008","G5 (2015-06-02)","N5B, N5N, N5M (2017-12-27)","S4 (1997-10-07)","none","none","none","none","native","common","intolerant","commercial fishery","lacustrine; riverine","benthopelagic","invertivore/carnivore","coldwater","shallow waters (<37 m) of deep lakes and clear streams; preferred water temperature 17.5°C","Nonguarders: Open substratum spawners: Lithophils","lacustrine; riverine","fall","November-December","2-4.5","1,076-26,732","lacustrine; riverine","22.9-39.4 TL","0.09-0.47","2-4","59.0 TL","2.72","16-25","162008","Teleostei","Salmoniformes","Salmonidae","Prosopium","Prosopium cylindraceum"
"100","Salmo salar","Linnaeus, 1758","Atlantic Salmon (ouananiche)","saumon atlantique","trouts and salmons","077","161931","161994","161996","G5 (2016-08-02)","N4N5B, NUN, NUM (2017-12-28)","SX1 (2011-02-11), SNR","Extinct1 (Nov 2010)","Extinct1","Extinct1 (1,2)","(1) Lake Ontario population","native/introduced","uncommon","intolerant","sport fish","lacustrine","benthopelagic","invertivore/carnivore","coldwater","cool mid-waters of lakes; rocky runs and pools of small to large coldwater rivers; preferred water temperature range 12-16°C","Nonguarders: Brood hiders: Lithophils","riverine","fall","October-November","6-10","1,779-16,920","riverine","50.8-74.4 TL","1.1-4.8","3-5","174 TL","46.76","9-13","161996","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo salar"
"101","Salmo trutta","Linnaeus, 1758","Brown Trout","truite brune","trouts and salmons","078","161931","161994","161997","G5 (1996-09-12)","NNA (1996-12-05)","SNA (1997-10-02)","none","none","none","none","introduced","common","intolerant","sport fish","lacustrine; riverine","benthopelagic","invertivore/carnivore","coldwater","cool creeks and rivers with moderate flow, gravelly substrates and riffle-pool habitat, and lake shallows; preferred water temperature range 15-18°C","Nonguarders: Brood hiders: Lithophils","riverine","fall","October-November","6-9","144-20,865","riverine","17.8-60.9 TL","0.06-2.5","2-4 (m); 3-5 (f)","116.8 TL","22.23","5-12","161997","Teleostei","Salmoniformes","Salmonidae","Salmo","Salmo trutta"
"102","Salvelinus alpinus","(Linnaeus, 1758)","Arctic Char","omble chevalier","trouts and salmons","079","161931","161999","162001","G5 (2016-05-10)","N5B, N5N, N5M (2017-12-27)","SU (1997-10-02)","none","none","none","none","native/introduced","limited distribution","intolerant","aboriginal fishery","lacustrine; riverine; estuarine","benthopelagic","invertivore/carnivore","coldwater","estuaries, deep runs and pools of medium to large coldwater rivers and lakes; usually at depths <3 m; preferred water temperature 11.3°C","Nonguarders: Brood hiders: Lithophils","lacustrine; riverine","fall","September-October","2-7","1,182-9,245","lacustrine; riverine","38.1-63.5 TL","0.6-3.0","7-14","101.6 TL","16.0","16-24","162001","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus alpinus"
"103","Salvelinus fontinalis","(Mitchill, 1814)","Brook (speckled) Trout","omble de fontaine","trouts and salmons","080","161931","161999","162003","G5 (2015-08-17)","N5B, N5N, N5M (2017-12-28)","S5 (1997-10-02)","none","none","none","none","native/introduced","common","intolerant","sport fish","lacustrine; riverine","benthopelagic","invertivore/carnivore","coldwater","cold, clear, well-oxygenated streams, rivers, ponds and lakes with maximum water temperature less than 22°C","Nonguarders: Brood hiders: Lithophils","lacustrine; riverine","fall","September-November","3.5-9","88-6,894","lacustrine; riverine","12.7-50.8 TL","0.02-1.6","2-3","86 SL","9.39","4-8","162003","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis"
"104","Salvelinus fontinalis timagamiensis","Henn & Rinkenbach, 1925","Aurora Trout","omble aurora","trouts and salmons","083","161931","161999","162003","G5TNRQ (2011-06-08)","N1 (2011-11-15)","S1 (1998-04-27)","none","none","Endangered (1,2,3,4,5)","none","endemic/introduced","rare","intolerant","sport fish","lacustrine","benthopelagic","invertivore/carnivore","coldwater","colder waters (<20°C) below the thermocline in cool, clear (oligotrophic) lakes with areas of groundwater upwelling","Nonguarders: Brood hiders: Lithophils","lacustrine","fall","October-November","4-6","1,300-7,000","lacustrine","23-45 FL","0.1-1.0","2-4","60 TL","3.5","6-9","162003","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus fontinalis"
"105","Salvelinus fontinalis x S. namaycush","not applicable","splake (backcross)","moulac","trouts and salmons","082","161931","161999","not applicable","GNA","NNA","SNA (1998-04-27)","none","none","none","none","artificial hybrid","uncommon","intolerant","sport fish","lacustrine","benthopelagic","invertivore/carnivore","coldwater","mid-waters (9-11m) of lakes, near the thermocline; preferred water temperature range 10-16°C","Nonguarders: Brood hiders: Lithophils","lacustrine","fall","October-November","6-14","855-6,075","lacustrine","34.3-63.5 TL","0.35-2.6","3-4","88.9 TL","9.39","7-9","not applicable",NA,NA,NA,NA,NA
"106","Salvelinus namaycush","(Walbaum, 1792)","Lake Trout","touladi","trouts and salmons","081","161931","161999","162002","G5 (2015-08-17)","N5 (2017-12-22)","S5 (1997-10-02)","none","none","none","none","native/introduced","common","intolerant","commercial fishery; sport fish","lacustrine","benthopelagic","invertivore/carnivore","coldwater","cold deeper waters (12-23m) of lakes, below the thermocline in summer; preferred water temperature range 9-13°C","Nonguarders: Brood hiders: Lithophils","lacustrine","fall","September-November","9-14","1,093-18,051","lacustrine","38.1-91.4 TL","0.4-6.9","3-7 (m); 4-8 (f)","162.6 TL","46.38","15-30","162002","Teleostei","Salmoniformes","Salmonidae","Salvelinus","Salvelinus namaycush"
