"","Species","Taxonomic_Authority","Common_Names","French_Name","Common_Family","OMNR_Code","Family_TSN","Parent_TSN","Species_TSN","Global_Rank_GRank","National_Rank_NRank","Provincial_Rank_SRank","COSEWIC_Status","SARO_Status","AFS_Status","Status_Notes","Ontario_Origin","General_Abundance","Tolerance","Economic_Importance","General_Habitats","Environment","Trophic_Class","Thermal_Regime","Habitat_Preference","Reproductive_Guild","Spawning_Habitats","Spawning_Season","Spawning_Months","Spawning_Temperature_Celsius","Fecundity","Nursery_Habitats","Adult_Length_cm","Adult_Weight_kg","Age_at_Maturity_yrs","Maximum_Length_cm","Maximum_Weight_kg","Lifespan_yrs","Species_TSN2","class_itis","order_itis","family_itis","genus_itis","species_itis"
"48","Notropis stramineus","(Cope, 1865)","Sand Shiner","méné paille","carps and minnows","204","163342","163399","163419","G5 (2015-08-18)","N5 (2017-12-22)","S4 (1988-11-22)","none","none","none","none","native","common","intermediate","forage fish; bait fish","lacustrine; riverine","benthopelagic","invertivore/detritivore","warmwater","sand and gravel runs and pools of warm, clear creeks and small to large rivers, and sandy shallows of lakes with rooted aquatic vegetation","Nonguarders: Open substratum spawners: Phyto-lithophils","lacustrine; riverine","summer","June-August","21-27","150-2,660","lacustrine; riverine","4.8-7.1 TL","0.001-0.003","1","8.5 TL","0.0047","2-3","163419","Teleostei","Cypriniformes","Cyprinidae","Notropis","Notropis stramineus"
"49","Notropis volucellus","(Cope, 1865)","Mimic Shiner","méné pâle","carps and minnows","206","163342","163399","163421","G5 (2015-08-18)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","intermediate","forage fish; baitfish (occasional)","lacustrine; riverine","benthopelagic","invertivore/herbivore","warmwater","pools of creeks and small to large rivers, open waters and quiet backwaters of lakes; often associated with sand and gravel substrates","Nonguarders: Open substratum spawners: Phytophils","lacustrine; riverine","summer","June-July","no data","67-960","lacustrine; riverine","4.6-6.4 TL","0.001-0.002","1","8.1 TL","no data","2-3","163421","Teleostei","Cypriniformes","Cyprinidae","Notropis","Notropis volucellus"
"50","Opsopoeodus emiliae","Hay, 1881","Pugnose Minnow","petit-bec","carps and minnows","207","163342","163875","163876","G5 (1996-09-25)","N2 (2017-12-21)","S2 (1988-11-22)","Threatened (May 2012)","Threatened","none","none","native","rare","intolerant","none","lacustrine; riverine","benthopelagic","detritivore","warmwater","slow-flowing streams of all sizes, lakes and oxbows with silt, sand or clay substrates and dense aquatic vegetation or abundant coarse woody debris","Guarders: Nest spawners: Speleophils","lacustrine; riverine","summer","June-July","21+","200-340","lacustrine; riverine","3.8-5.8 TL","0.001-0.002","1-2","6.6 TL","no data","3","163876","Teleostei","Cypriniformes","Cyprinidae","Opsopoeodus","Opsopoeodus emiliae"
"51","Pimephales notatus","(Rafinesque, 1820)","Bluntnose Minnow","méné à museau arrondi","carps and minnows","208","163342","163515","163516","G5 (2015-06-07)","N5 (2017-12-22)","S5 (1988-11-22)","Not at Risk (Apr 1998)","Not at Risk","none","none","native","common","intermediate","forage fish; bait fish (occasional)","lacustrine; riverine","benthopelagic","detritivore","warmwater","sand and gravel bottomed shallows of clear lakes, creeks, rivers and ponds; preferred water temperature 26.3°C","Guarders: Nest spawners: Speleophils","lacustrine; riverine","summer","June-August","19-26","365-4,195","lacustrine; riverine","5.4-8.5 TL","0.001-0.005","2-3 (m); 1-2 (f)","11.2 TL","0.009","3-5","163516","Teleostei","Cypriniformes","Cyprinidae","Pimephales","Pimephales notatus"
"52","Pimephales promelas","Rafinesque, 1820","Fathead Minnow","méné à grosse tête","carps and minnows","209","163342","163515","163517","G5 (2015-08-17)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","tolerant","forage fish; bait fish","lacustrine; riverine","benthopelagic","detritivore/invertivore","warmwater","still waters of ponds, lakes, creeks and small rivers with muddy substrate; preferred water temperature range 23-29°C","Guarders: Nest spawners: Speleophils","lacustrine; riverine","spring-summer","May-August","14-29","255-2,622","lacustrine; riverine","4.5-7.1 TL","0.001-0.004","1-2","10.1 TL","0.0132","3-6","163517","Teleostei","Cypriniformes","Cyprinidae","Pimephales","Pimephales promelas"
"53","Rhinichthys atratulus","(Hermann, 1804)","Eastern Blacknose Dace","naseux noir","carps and minnows","210","163342","163381","163382","G5 (2016-02-09)","N5 (2016-02-09)","SNR","none","none","none","none","native","limited distribution","intermediate","forage fish; bait fish (occasional)","riverine","benthic","invertivore","coolwater","runs and pools of clear, cool, swiftly-flowing creeks and small rivers with gravelly substrate; preferred water temperature range 19-25°C","Nonguarders: Open substratum spawners: Lithophils","riverine","spring","May-June","15.5-22","166-1,116","riverine","5.6-8.3 TL","0.001-0.005","2","9.9 TL","no data","3-4","163382","Teleostei","Cypriniformes","Cyprinidae","Rhinichthys","Rhinichthys atratulus"
"54","Rhinichthys cataractae","(Valenciennes, 1842)","Longnose Dace","naseux des rapides","carps and minnows","211","163342","163381","163384","G5 (2015-08-17)","N5 (2017-12-22)","S5 (1988-11-22)","none","none","none","none","native","common","intermediate","forage fish; bait fish (occasional)","lacustrine; riverine","benthic","invertivore","coolwater","cobble, boulder or gravel riffles of clean, cool, swiftly-flowing creeks and small to medium rivers, and rocky shores of lakes; preferred water temperature range 13-21°C","Nonguarders: Open substratum spawners: Lithophils","riverine","spring-summer","May-July","11-23","150-3,374","riverine","6.4-11.4 TL","0.002-0.011","2-3","22.5 TL","0.040","4 (m); 5 (f)","163384","Teleostei","Cypriniformes","Cyprinidae","Rhinichthys","Rhinichthys cataractae"
"55","Rhinichthys obtusus","Agassiz, 1854","Western Blacknose Dace","naseux noir de l'ouest","carps and minnows","630","163342","163381","689949","G5 (2015-08-17)","N5 (2015-08-17)","S5 (1997-10-02)","none","none","none","none","native","common","intermediate","forage fish; bait fish (occasional)","riverine","benthic","invertivore","coolwater","riffles and runs of cool, small- to medium-sized streams with moderate to steep gradient and gravel substrate; rarely lakes; preferred water temperature range 19-25°C","Nonguarders: Open substratum spawners: Lithophils","riverine","spring","May-June","12-21","264-1,360","riverine","6.9-9.7 TL","0.003-0.007","2","12.4 TL","0.027","3-4","689949","Teleostei","Cypriniformes","Cyprinidae","Rhinichthys","Rhinichthys obtusus"
"56","Scardinius erythrophthalmus","(Linnaeus, 1758)","Rudd","gardon rouge","carps and minnows","220","163342","163612","163613","G5 (1996-09-17)","NNA (2017-12-22)","SNA (1997-10-02)","none","none","none","none","introduced","rare","tolerant","invasive species","lacustrine; riverine","benthopelagic","invertivore/herbivore","coolwater","clear, weedy, quiet waters of streams, rivers and lakes","Nonguarders: Open substratum spawners: Phyto-lithophils","lacustrine; riverine","spring","May-June","14-20","563-12,2840","lacustrine; riverine","20.7-35.6 TL","0.1-0.4","3 (m); 4 (f)","62 TL","3.62","11-19","163613","Teleostei","Cypriniformes","Cyprinidae","Scardinius","Scardinius erythrophthalmus"
"57","Semotilus atromaculatus","(Mitchill, 1818)","Creek Chub","mulet à cornes","carps and minnows","212","163342","163374","163376","G5 (2015-08-17)","N5 (2016-02-09)","S5 (1997-10-02)","none","none","none","none","native","common","intermediate","bait fish","riverine","benthopelagic","invertivore/carnivore","coolwater","pools of clear creeks and small rivers, over sand, gravel and cobble substrates; rare in lakes and large rivers; preferred water temperature 20.8°C","Nonguarders: Brood hiders: Lithophils","riverine","spring","May-June","12-17","500-7,539","riverine","7.6-20.3 TL","0.004-0.098","3 (m); 2 (f)","33.0 TL","0.34","5-10","163376","Teleostei","Cypriniformes","Cyprinidae","Semotilus","Semotilus atromaculatus"
